timestamp,data
2025-06-19T11:20:24.472726,"RSSI_DATA,6899,-56,6,630.96,1"
2025-06-19T11:20:29.375781,"RSSI_DATA,11802,-36,6,63.10,2"
2025-06-19T11:20:34.279135,"RSSI_DATA,16705,-38,6,79.43,3"
2025-06-19T11:20:39.177158,"RSSI_DATA,21608,-39,6,89.13,4"
2025-06-19T11:20:44.080069,"RSSI_DATA,26511,-39,6,89.13,5"
2025-06-19T11:20:48.983017,"RSSI_DATA,31414,-43,6,141.25,6"
2025-06-19T11:20:53.886183,"RSSI_DATA,36317,-45,6,177.83,7"
2025-06-19T11:20:58.789129,"RSSI_DATA,41220,-40,6,100.00,8"
2025-06-19T11:21:03.692214,"RSSI_DATA,46123,-47,6,223.87,9"
2025-06-19T11:21:08.595112,"RSSI_DATA,51026,-51,6,354.81,10"
2025-06-19T11:21:13.498152,"RSSI_DATA,55929,-49,6,281.84,11"
2025-06-19T11:21:18.401527,"RSSI_DATA,60832,-49,6,281.84,12"
2025-06-19T11:21:23.304320,"RSSI_DATA,65735,-48,6,251.19,13"
2025-06-19T11:21:28.207689,"RSSI_DATA,70638,-48,6,251.19,14"
2025-06-19T11:21:33.112717,"RSSI_DATA,75541,-39,6,89.13,15"
2025-06-19T11:21:38.013494,"RSSI_DATA,80444,-47,6,223.87,16"
2025-06-19T11:21:42.916564,"RSSI_DATA,85347,-48,6,251.19,17"
2025-06-19T11:21:47.819454,"RSSI_DATA,90250,-64,6,1584.89,18"
2025-06-19T11:21:52.722429,"RSSI_DATA,95153,-56,6,630.96,19"
2025-06-19T11:21:57.625530,"RSSI_DATA,100055,-58,6,794.33,20"
2025-06-19T11:22:02.527344,"RSSI_DATA,104957,-51,6,354.81,21"
2025-06-19T11:22:07.429872,"RSSI_DATA,109860,-51,6,354.81,22"
2025-06-19T11:22:11.432530,"RSSI_DATA,113862,-49,6,281.84,23"
2025-06-19T11:22:16.334962,"RSSI_DATA,118765,-52,6,398.11,24"
2025-06-19T11:22:21.237933,"RSSI_DATA,123668,-55,6,562.34,25"
2025-06-19T11:22:26.141049,"RSSI_DATA,128571,-58,6,794.33,26"
2025-06-19T11:22:31.043810,"RSSI_DATA,133473,-62,6,1258.93,27"
2025-06-19T11:22:35.945959,"RSSI_DATA,138375,-64,6,1584.89,28"
2025-06-19T11:22:40.848007,"RSSI_DATA,143277,-68,6,2511.89,29"
2025-06-19T11:22:45.749972,"RSSI_DATA,148179,-64,6,1584.89,30"
2025-06-19T11:22:50.652048,"RSSI_DATA,153081,-61,6,1122.02,31"
2025-06-19T11:22:55.554065,"RSSI_DATA,157983,-68,6,2511.89,32"
2025-06-19T11:23:00.456141,"RSSI_DATA,162886,-65,6,1778.28,33"
2025-06-19T11:23:05.359371,"RSSI_DATA,167789,-77,6,7079.46,34"
2025-06-19T11:23:10.262382,"RSSI_DATA,172692,-75,6,5623.41,35"
2025-06-19T11:23:15.165523,"RSSI_DATA,177594,-84,6,15848.93,36"
2025-06-19T11:23:20.067432,"RSSI_DATA,182497,-85,6,17782.79,37"
2025-06-19T11:23:24.969478,"RSSI_DATA,187399,-82,6,12589.25,38"
2025-06-19T11:23:29.872372,"RSSI_DATA,192301,-74,6,5011.87,39"
2025-06-19T11:23:34.774674,"RSSI_DATA,197204,-85,6,17782.79,40"
2025-06-19T11:23:39.677622,"RSSI_DATA,202106,-86,6,19952.62,41"
2025-06-19T11:23:44.579628,"RSSI_DATA,207009,-82,6,12589.25,42"
2025-06-19T11:23:49.482612,"RSSI_DATA,211911,-81,6,11220.18,43"
2025-06-19T11:23:54.384898,"RSSI_DATA,216814,-82,6,12589.25,44"
2025-06-19T11:23:59.287772,"RSSI_DATA,221716,-82,6,12589.25,45"
2025-06-19T11:24:04.190151,"RSSI_DATA,226619,-90,6,31622.78,46"
2025-06-19T11:24:09.093002,"RSSI_DATA,231522,-92,6,39810.72,47"
2025-06-19T11:24:13.995941,"RSSI_DATA,236425,-95,6,56234.13,48"
2025-06-19T11:24:18.898864,"RSSI_DATA,241327,-89,6,28183.83,49"
2025-06-19T11:24:23.801095,"RSSI_DATA,246230,-94,6,50118.72,50"
2025-06-19T11:24:28.704197,"RSSI_DATA,251133,-89,6,28183.83,51"
2025-06-19T11:24:33.607050,"RSSI_DATA,256035,-84,6,15848.93,52"
2025-06-19T11:24:38.509065,"RSSI_DATA,260937,-82,6,12589.25,53"
2025-06-19T11:24:43.411230,"RSSI_DATA,265840,-82,6,12589.25,54"
2025-06-19T11:24:48.314130,"RSSI_DATA,270742,-83,6,14125.37,55"
2025-06-19T11:24:53.216238,"RSSI_DATA,275645,-87,6,22387.21,56"
2025-06-19T11:24:58.119494,"RSSI_DATA,280548,-92,6,39810.72,57"
2025-06-19T11:25:03.022497,"RSSI_DATA,285451,-84,6,15848.93,58"
2025-06-19T11:25:07.925724,"RSSI_DATA,290354,-89,6,28183.83,59"
2025-06-19T11:25:12.828388,"RSSI_DATA,295257,-92,6,39810.72,60"
2025-06-19T11:25:17.730486,"RSSI_DATA,300159,-87,6,22387.21,61"
