timestamp,data
2025-06-17T15:47:43.005438,Sending: PING
2025-06-17T15:47:43.812352,PONG recieved
2025-06-17T15:47:43.812886,elapsed time: 657
2025-06-17T15:47:43.814618,RSSI: -45.00 dBm | SNR: 10.50 dB | Freq Error: 1234.19 Hz
2025-06-17T15:47:44.813732,Sending: PING
2025-06-17T15:47:45.620952,PONG recieved
2025-06-17T15:47:45.621596,elapsed time: 657
2025-06-17T15:47:45.622989,RSSI: -45.00 dBm | SNR: 10.50 dB | Freq Error: 1253.56 Hz
2025-06-17T15:47:46.622419,Sending: PING
2025-06-17T15:47:47.429536,PONG recieved
2025-06-17T15:47:47.430198,elapsed time: 657
2025-06-17T15:47:47.431826,RSSI: -46.00 dBm | SNR: 10.25 dB | Freq Error: 1272.94 Hz
2025-06-17T15:47:48.430742,Sending: PING
2025-06-17T15:47:49.237413,PONG recieved
2025-06-17T15:47:49.237816,elapsed time: 656
2025-06-17T15:47:49.239404,RSSI: -45.00 dBm | SNR: 10.25 dB | Freq Error: 1284.56 Hz
2025-06-17T15:47:50.238911,Sending: PING
2025-06-17T15:47:51.046297,PONG recieved
2025-06-17T15:47:51.046861,elapsed time: 657
2025-06-17T15:47:51.048437,RSSI: -45.00 dBm | SNR: 11.00 dB | Freq Error: 1296.19 Hz
2025-06-17T15:47:52.047584,Sending: PING
2025-06-17T15:47:52.854587,PONG recieved
2025-06-17T15:47:52.855305,elapsed time: 657
2025-06-17T15:47:52.856917,RSSI: -48.00 dBm | SNR: 9.75 dB | Freq Error: 1311.69 Hz
2025-06-17T15:47:53.856105,Sending: PING
2025-06-17T15:47:54.663161,PONG recieved
2025-06-17T15:47:54.663733,elapsed time: 657
2025-06-17T15:47:54.665245,RSSI: -39.00 dBm | SNR: 9.50 dB | Freq Error: 1307.81 Hz
2025-06-17T15:47:55.664500,Sending: PING
2025-06-17T15:47:56.471218,PONG recieved
2025-06-17T15:47:56.471776,elapsed time: 657
2025-06-17T15:47:56.473546,RSSI: -44.00 dBm | SNR: 10.25 dB | Freq Error: 1303.94 Hz
2025-06-17T15:47:57.472594,Sending: PING
2025-06-17T15:47:58.279876,PONG recieved
2025-06-17T15:47:58.280490,elapsed time: 657
2025-06-17T15:47:58.282070,RSSI: -54.00 dBm | SNR: 10.25 dB | Freq Error: 1280.69 Hz
2025-06-17T15:47:59.281405,Sending: PING
2025-06-17T15:48:00.088320,PONG recieved
2025-06-17T15:48:00.088892,elapsed time: 657
2025-06-17T15:48:00.090599,RSSI: -41.00 dBm | SNR: 10.25 dB | Freq Error: 1245.81 Hz
2025-06-17T15:48:01.089612,Sending: PING
2025-06-17T15:48:01.896397,PONG recieved
2025-06-17T15:48:01.896920,elapsed time: 657
2025-06-17T15:48:01.898668,RSSI: -44.00 dBm | SNR: 10.00 dB | Freq Error: 1207.06 Hz
2025-06-17T15:48:02.898073,Sending: PING
2025-06-17T15:48:03.704846,PONG recieved
2025-06-17T15:48:03.705446,elapsed time: 657
2025-06-17T15:48:03.707027,RSSI: -47.00 dBm | SNR: 10.25 dB | Freq Error: 1160.56 Hz
2025-06-17T15:48:04.706482,Sending: PING
2025-06-17T15:48:05.513528,PONG recieved
2025-06-17T15:48:05.514094,elapsed time: 657
2025-06-17T15:48:05.515606,RSSI: -51.00 dBm | SNR: 9.50 dB | Freq Error: 1106.31 Hz
2025-06-17T15:48:06.514806,Sending: PING
2025-06-17T15:48:07.321616,PONG recieved
2025-06-17T15:48:07.322169,elapsed time: 657
2025-06-17T15:48:07.323689,RSSI: -57.00 dBm | SNR: 10.75 dB | Freq Error: 1055.94 Hz
2025-06-17T15:48:08.323118,Sending: PING
2025-06-17T15:48:09.130492,PONG recieved
2025-06-17T15:48:09.130954,elapsed time: 657
2025-06-17T15:48:09.132286,RSSI: -62.00 dBm | SNR: 9.00 dB | Freq Error: 1009.44 Hz
2025-06-17T15:48:10.131599,Sending: PING
2025-06-17T15:48:10.938492,PONG recieved
2025-06-17T15:48:10.939049,elapsed time: 657
2025-06-17T15:48:10.940631,RSSI: -54.00 dBm | SNR: 10.50 dB | Freq Error: 955.19 Hz
2025-06-17T15:48:11.939953,Sending: PING
2025-06-17T15:48:12.747137,PONG recieved
2025-06-17T15:48:12.747689,elapsed time: 657
2025-06-17T15:48:12.749175,RSSI: -77.00 dBm | SNR: 9.25 dB | Freq Error: 916.44 Hz
2025-06-17T15:48:13.748401,Sending: PING
2025-06-17T15:48:14.555462,PONG recieved
2025-06-17T15:48:14.556033,elapsed time: 657
2025-06-17T15:48:14.557526,RSSI: -68.00 dBm | SNR: 10.50 dB | Freq Error: 858.31 Hz
2025-06-17T15:48:15.556811,Sending: PING
2025-06-17T15:48:16.363817,PONG recieved
2025-06-17T15:48:16.364405,elapsed time: 657
2025-06-17T15:48:16.365923,RSSI: -63.00 dBm | SNR: 10.00 dB | Freq Error: 815.69 Hz
2025-06-17T15:48:17.365235,Sending: PING
2025-06-17T15:48:18.172197,PONG recieved
2025-06-17T15:48:18.172748,elapsed time: 657
2025-06-17T15:48:18.174041,RSSI: -70.00 dBm | SNR: 10.00 dB | Freq Error: 776.94 Hz
2025-06-17T15:48:19.173506,Sending: PING
2025-06-17T15:48:19.980490,PONG recieved
2025-06-17T15:48:19.980929,elapsed time: 657
2025-06-17T15:48:19.982314,RSSI: -73.00 dBm | SNR: 10.00 dB | Freq Error: 761.44 Hz
2025-06-17T15:48:20.981913,Sending: PING
2025-06-17T15:48:21.788594,PONG recieved
2025-06-17T15:48:21.789137,elapsed time: 657
2025-06-17T15:48:21.790772,RSSI: -77.00 dBm | SNR: 10.75 dB | Freq Error: 753.69 Hz
2025-06-17T15:48:22.790305,Sending: PING
2025-06-17T15:48:23.596971,PONG recieved
2025-06-17T15:48:23.597528,elapsed time: 657
2025-06-17T15:48:23.599153,RSSI: -78.00 dBm | SNR: 10.50 dB | Freq Error: 730.44 Hz
2025-06-17T15:48:24.598097,Sending: PING
2025-06-17T15:48:25.405507,PONG recieved
2025-06-17T15:48:25.406082,elapsed time: 657
2025-06-17T15:48:25.407564,RSSI: -85.00 dBm | SNR: 10.00 dB | Freq Error: 711.06 Hz
2025-06-17T15:48:26.406929,Sending: PING
2025-06-17T15:48:27.214210,PONG recieved
2025-06-17T15:48:27.214793,elapsed time: 657
2025-06-17T15:48:27.216345,RSSI: -87.00 dBm | SNR: 10.25 dB | Freq Error: 722.69 Hz
2025-06-17T15:48:28.215403,Sending: PING
2025-06-17T15:48:29.022344,PONG recieved
2025-06-17T15:48:29.022902,elapsed time: 657
2025-06-17T15:48:29.024402,RSSI: -92.00 dBm | SNR: 10.00 dB | Freq Error: 722.69 Hz
2025-06-17T15:48:30.023870,Sending: PING
2025-06-17T15:48:30.830669,PONG recieved
2025-06-17T15:48:30.831233,elapsed time: 657
2025-06-17T15:48:30.832722,RSSI: -81.00 dBm | SNR: 11.00 dB | Freq Error: 730.44 Hz
2025-06-17T15:48:31.832202,Sending: PING
2025-06-17T15:48:32.639169,PONG recieved
2025-06-17T15:48:32.639738,elapsed time: 657
2025-06-17T15:48:32.641341,RSSI: -90.00 dBm | SNR: 10.50 dB | Freq Error: 734.31 Hz
2025-06-17T15:48:33.640603,Sending: PING
2025-06-17T15:48:34.447579,PONG recieved
2025-06-17T15:48:34.448216,elapsed time: 657
2025-06-17T15:48:34.449761,RSSI: -92.00 dBm | SNR: 10.25 dB | Freq Error: 745.94 Hz
2025-06-17T15:48:35.448842,Sending: PING
2025-06-17T15:48:36.255896,PONG recieved
2025-06-17T15:48:36.256528,elapsed time: 657
2025-06-17T15:48:36.258042,RSSI: -85.00 dBm | SNR: 10.25 dB | Freq Error: 776.94 Hz
2025-06-17T15:48:37.257026,Sending: PING
2025-06-17T15:48:38.064376,PONG recieved
2025-06-17T15:48:38.064994,elapsed time: 657
2025-06-17T15:48:38.066543,RSSI: -85.00 dBm | SNR: 10.75 dB | Freq Error: 788.56 Hz
2025-06-17T15:48:39.066313,Sending: PING
2025-06-17T15:48:39.872614,PONG recieved
2025-06-17T15:48:39.873228,elapsed time: 657
2025-06-17T15:48:39.874739,RSSI: -89.00 dBm | SNR: 10.00 dB | Freq Error: 796.31 Hz
2025-06-17T15:48:40.873862,Sending: PING
2025-06-17T15:48:41.681114,PONG recieved
2025-06-17T15:48:41.681529,elapsed time: 657
2025-06-17T15:48:41.682369,RSSI: -84.00 dBm | SNR: 10.25 dB | Freq Error: 807.94 Hz
2025-06-17T15:48:42.681964,Sending: PING
2025-06-17T15:48:43.489504,PONG recieved
2025-06-17T15:48:43.490097,elapsed time: 657
2025-06-17T15:48:43.491574,RSSI: -90.00 dBm | SNR: 9.75 dB | Freq Error: 811.81 Hz
2025-06-17T15:48:44.490614,Sending: PING
2025-06-17T15:48:45.297730,PONG recieved
2025-06-17T15:48:45.298377,elapsed time: 657
2025-06-17T15:48:45.299776,RSSI: -85.00 dBm | SNR: 10.00 dB | Freq Error: 804.06 Hz
2025-06-17T15:48:46.299040,Sending: PING
2025-06-17T15:48:47.106046,PONG recieved
2025-06-17T15:48:47.106655,elapsed time: 657
2025-06-17T15:48:47.108243,RSSI: -87.00 dBm | SNR: 10.25 dB | Freq Error: 780.81 Hz
2025-06-17T15:48:48.107196,Sending: PING
2025-06-17T15:48:48.914215,PONG recieved
2025-06-17T15:48:48.914718,elapsed time: 657
2025-06-17T15:48:48.916162,RSSI: -92.00 dBm | SNR: 10.00 dB | Freq Error: 765.31 Hz
2025-06-17T15:48:49.915751,Sending: PING
2025-06-17T15:48:50.722791,PONG recieved
2025-06-17T15:48:50.723288,elapsed time: 657
2025-06-17T15:48:50.724702,RSSI: -94.00 dBm | SNR: 9.75 dB | Freq Error: 761.44 Hz
2025-06-17T15:48:51.724064,Sending: PING
2025-06-17T15:48:52.530889,PONG recieved
2025-06-17T15:48:52.531439,elapsed time: 657
2025-06-17T15:48:52.532863,RSSI: -103.00 dBm | SNR: 6.50 dB | Freq Error: 765.31 Hz
2025-06-17T15:48:53.532197,Sending: PING
2025-06-17T15:48:54.339432,PONG recieved
2025-06-17T15:48:54.339986,elapsed time: 657
2025-06-17T15:48:54.341502,RSSI: -98.00 dBm | SNR: 8.25 dB | Freq Error: 776.94 Hz
