timestamp,data
2025-06-18T14:36:36.894997,[SX1262] Sending next packet ...
2025-06-18T14:36:36.915785,Transmission finished.
2025-06-18T14:36:36.937691,[SX1262] Received packet!
2025-06-18T14:36:36.938745,Elapsed: 22 ms | RSSI: -48.00 dBm | SNR: 9.75 dB
2025-06-18T14:36:37.938737,[SX1262] Sending next packet ...
2025-06-18T14:36:37.959834,Transmission finished.
2025-06-18T14:36:37.981763,[SX1262] Received packet!
2025-06-18T14:36:37.984074,Elapsed: 22 ms | RSSI: -47.00 dBm | SNR: 9.75 dB
2025-06-18T14:36:38.982843,[SX1262] Sending next packet ...
2025-06-18T14:36:39.003560,Transmission finished.
2025-06-18T14:36:39.026243,[SX1262] Received packet!
2025-06-18T14:36:39.027892,Elapsed: 22 ms | RSSI: -46.00 dBm | SNR: 10.00 dB
2025-06-18T14:36:40.027146,[SX1262] Sending next packet ...
2025-06-18T14:36:40.047725,Transmission finished.
2025-06-18T14:36:40.070330,[SX1262] Received packet!
2025-06-18T14:36:40.071566,Elapsed: 23 ms | RSSI: -46.00 dBm | SNR: 10.00 dB
2025-06-18T14:36:41.071091,[SX1262] Sending next packet ...
2025-06-18T14:36:41.092008,Transmission finished.
2025-06-18T14:36:41.114303,[SX1262] Received packet!
2025-06-18T14:36:41.116161,Elapsed: 22 ms | RSSI: -49.00 dBm | SNR: 10.00 dB
2025-06-18T14:36:42.115185,[SX1262] Sending next packet ...
2025-06-18T14:36:42.136089,Transmission finished.
2025-06-18T14:36:42.158315,[SX1262] Received packet!
2025-06-18T14:36:42.159540,Elapsed: 21 ms | RSSI: -46.00 dBm | SNR: 9.75 dB
2025-06-18T14:36:43.159308,[SX1262] Sending next packet ...
2025-06-18T14:36:43.181680,Transmission finished.
2025-06-18T14:36:43.201801,[SX1262] Received packet!
2025-06-18T14:36:43.202897,Elapsed: 22 ms | RSSI: -52.00 dBm | SNR: 10.00 dB
2025-06-18T14:36:44.202986,[SX1262] Sending next packet ...
2025-06-18T14:36:44.224716,Transmission finished.
2025-06-18T14:36:44.245898,[SX1262] Received packet!
2025-06-18T14:36:44.247380,Elapsed: 22 ms | RSSI: -52.00 dBm | SNR: 10.25 dB
2025-06-18T14:36:45.247022,[SX1262] Sending next packet ...
2025-06-18T14:36:45.267625,Transmission finished.
2025-06-18T14:36:45.291609,[SX1262] Received packet!
