timestamp,data
2025-06-19T11:20:35.490147,[SX1262] Sending next packet ...
2025-06-19T11:20:35.511076,Transmission finished.
2025-06-19T11:20:35.554061,[SX1262] Received packet!
2025-06-19T11:20:35.555445,Elapsed: 43 ms | RSSI: -48.00 dBm | SNR: 11.00 dB
2025-06-19T11:20:36.554946,[SX1262] Sending next packet ...
2025-06-19T11:20:36.576131,Transmission finished.
2025-06-19T11:20:36.618444,[SX1262] Received packet!
2025-06-19T11:20:36.619435,Elapsed: 42 ms | RSSI: -48.00 dBm | SNR: 10.75 dB
2025-06-19T11:20:37.619918,[SX1262] Sending next packet ...
2025-06-19T11:20:37.642588,Transmission finished.
2025-06-19T11:20:37.683558,[SX1262] Received packet!
2025-06-19T11:20:37.685070,Elapsed: 43 ms | RSSI: -48.00 dBm | SNR: 10.50 dB
2025-06-19T11:20:38.684521,[SX1262] Sending next packet ...
2025-06-19T11:20:38.705166,Transmission finished.
2025-06-19T11:20:38.748001,[SX1262] Received packet!
2025-06-19T11:20:38.749052,Elapsed: 43 ms | RSSI: -49.00 dBm | SNR: 11.00 dB
2025-06-19T11:20:39.749041,[SX1262] Sending next packet ...
2025-06-19T11:20:39.770128,Transmission finished.
2025-06-19T11:20:39.812646,[SX1262] Received packet!
2025-06-19T11:20:39.813633,Elapsed: 42 ms | RSSI: -48.00 dBm | SNR: 10.75 dB
2025-06-19T11:20:40.813775,[SX1262] Sending next packet ...
2025-06-19T11:20:40.834540,Transmission finished.
2025-06-19T11:20:40.877871,[SX1262] Received packet!
2025-06-19T11:20:40.879104,Elapsed: 43 ms | RSSI: -52.00 dBm | SNR: 10.50 dB
2025-06-19T11:20:41.878422,[SX1262] Sending next packet ...
2025-06-19T11:20:41.899383,Transmission finished.
2025-06-19T11:20:41.942231,[SX1262] Received packet!
2025-06-19T11:20:41.943616,Elapsed: 43 ms | RSSI: -51.00 dBm | SNR: 10.75 dB
2025-06-19T11:20:42.943139,[SX1262] Sending next packet ...
2025-06-19T11:20:42.964948,Transmission finished.
2025-06-19T11:20:43.007209,[SX1262] Received packet!
2025-06-19T11:20:43.008488,Elapsed: 42 ms | RSSI: -51.00 dBm | SNR: 10.75 dB
2025-06-19T11:20:44.007764,[SX1262] Sending next packet ...
2025-06-19T11:20:44.028605,Transmission finished.
2025-06-19T11:20:44.071872,[SX1262] Received packet!
2025-06-19T11:20:44.073268,Elapsed: 43 ms | RSSI: -52.00 dBm | SNR: 11.00 dB
2025-06-19T11:20:45.072467,[SX1262] Sending next packet ...
2025-06-19T11:20:45.093207,Transmission finished.
2025-06-19T11:20:45.137725,[SX1262] Received packet!
2025-06-19T11:20:45.139205,Elapsed: 43 ms | RSSI: -53.00 dBm | SNR: 10.50 dB
2025-06-19T11:20:46.137123,[SX1262] Sending next packet ...
2025-06-19T11:20:46.158081,Transmission finished.
2025-06-19T11:20:46.200839,[SX1262] Received packet!
2025-06-19T11:20:46.202467,Elapsed: 43 ms | RSSI: -49.00 dBm | SNR: 10.75 dB
2025-06-19T11:20:47.201808,[SX1262] Sending next packet ...
